contestId,index,name,type,tags,rating,points,solvedCount
2141,C,Minimum on Subarrays,PROGRAMMING,"['*special', 'brute force']",1800.0,,299
2141,B,Games,PROGRAMMING,"['*special', 'greedy']",1200.0,,996
2141,A,Furniture Store,PROGRAMMING,"['*special', 'implementation']",800.0,,1326
2140,F,Sum Minimisation,PROGRAMMING,['number theory'],2900.0,2750.0,257
2140,E2,Prime Gaming (Hard Version),PROGRAMMING,"['bitmasks', 'combinatorics', 'dp', 'probabilities']",2500.0,1000.0,993
2140,E1,Prime Gaming (Easy Version),PROGRAMMING,"['bitmasks', 'combinatorics', 'dp']",2200.0,1750.0,1754
2140,D,A Cruel Segment's Thesis,PROGRAMMING,"['data structures', 'greedy', 'sortings']",2000.0,1750.0,3922
2140,C,Ultimate Value,PROGRAMMING,"['data structures', 'games', 'greedy']",1500.0,1250.0,10301
2140,B,Another Divisibility Problem,PROGRAMMING,"['constructive algorithms', 'math', 'number theory']",900.0,1000.0,18889
2140,A,Shift Sort,PROGRAMMING,"['greedy', 'sortings']",800.0,500.0,19906
2139,B,Cake Collection,PROGRAMMING,['greedy'],800.0,1000.0,18661
2139,A,Maple and Multiplication,PROGRAMMING,"['greedy', 'math']",800.0,500.0,22889
2138,F,Ode to the Bridge Builder,PROGRAMMING,"['constructive algorithms', 'geometry']",3500.0,4250.0,61
2138,E2,Determinant Construction (Hard Version),PROGRAMMING,"['brute force', 'constructive algorithms', 'math', 'matrices', 'number theory']",3100.0,1500.0,155
2138,E1,Determinant Construction (Easy Version),PROGRAMMING,"['brute force', 'constructive algorithms', 'math', 'matrices', 'number theory']",3100.0,2750.0,159
2138,D,Antiamuny and Slider Movement,PROGRAMMING,"['brute force', 'combinatorics', 'implementation', 'math', 'sortings']",2600.0,2500.0,514
2138,C2,Maple and Tree Beauty (Hard Version),PROGRAMMING,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'fft', 'trees']",2000.0,750.0,2793
2138,C1,Maple and Tree Beauty (Easy Version),PROGRAMMING,"['brute force', 'dfs and similar', 'dp', 'graphs', 'trees']",1800.0,1250.0,4510
2138,B,Antiamuny Wants to Learn Swap,PROGRAMMING,"['data structures', 'greedy', 'two pointers']",1900.0,1250.0,4535
2138,A,Cake Assignment,PROGRAMMING,"['bitmasks', 'constructive algorithms', 'greedy']",1100.0,500.0,14838
2137,G,Cry Me a River,PROGRAMMING,"['dfs and similar', 'dp', 'games', 'graphs']",2200.0,,1522
2137,F,Prefix Maximum Invariance,PROGRAMMING,"['binary search', 'combinatorics', 'data structures', 'sortings']",1900.0,,3267
2137,E,Mexification,PROGRAMMING,"['brute force', 'implementation', 'math']",1500.0,,8543
2137,D,Replace with Occurrences,PROGRAMMING,['constructive algorithms'],1200.0,,16766
2137,C,Maximum Even Sum,PROGRAMMING,"['brute force', 'greedy', 'implementation', 'math']",1100.0,,20033
2137,B,Fun Permutation,PROGRAMMING,"['constructive algorithms', 'math', 'number theory']",900.0,,23369
2137,A,Collatz Conjecture,PROGRAMMING,"['constructive algorithms', 'math']",800.0,,31666
2136,B,Like the Bitset,PROGRAMMING,"['constructive algorithms', 'greedy', 'two pointers']",900.0,1000.0,18667
2136,A,In the Dream,PROGRAMMING,"['greedy', 'math']",800.0,500.0,23748
